pcode_st,name_st,usuact_10ab_t,usuact_10ab_eco_act_t,eco_act_p,emp_t,eco_act_emp,total_emp,usuact_10ab_govemp_t,emp_govemp,eco_act_govemp,total_govemp,usuact_10ab_priemp_t,emp_priemp,eco_act_priemp,total_priemp,usuact_10ab_empyr_t,emp_empyr,eco_act_empyr,total_empyr,usuact_10ab_ownacc_t,emp_ownacc,eco_act_ownacc,total_ownacc,usuact_10ab_unpfam_t,emp_unpfam,eco_act_unpfam,total_unpfam,usuact_10ab_seekw_t,eco_act_unemp,total_unemp,usuact_10ab_eco_inact_t,eco_inact_p,usuact_10ab_nseekw_t,eco_inact_not_seek,total_not_seek,usuact_10ab_stu_t,eco_inact_stu,total_stu,usuact_10ab_hhwork_t,eco_inact_hw,total_hw,usuact_10ab_retir_t,eco_inact_retire,total_retire,usuact_10ab_ill_t,eco_inact_ill,total_ill,usuact_10ab_oth_t,eco_inact_oth,total_oth,usuact_10ab_m,usuact_10ab_govemp_m,usuact_10ab_priemp_m,usuact_10ab_empyr_m,usuact_10ab_ownacc_m,usuact_10ab_unpfam_m,usuact_10ab_seekw_m,usuact_10ab_nseekw_m,usuact_10ab_stu_m,usuact_10ab_hhwork_m,usuact_10ab_retir_m,usuact_10ab_ill_m,usuact_10ab_oth_m,usuact_10ab_f,usuact_10ab_govemp_f,usuact_10ab_priemp_f,usuact_10ab_empyr_f,usuact_10ab_ownacc_f,usuact_10ab_unpfam_f,usuact_10ab_seekw_f,usuact_10ab_nseekw_f,usuact_10ab_stu_f,usuact_10ab_hhwork_f,usuact_10ab_retir_f,usuact_10ab_ill_f,usuact_10ab_oth_f
MMR,UNION,40988693,23370085,57%,22415579,96%,55%,1355370,6%,6%,3%,7376308,33%,32%,18%,1045982,5%,4%,3%,8714545,39%,37%,21%,3923374,18%,17%,10%,954506,4%,2%,17618608,43%,172514,1%,0%,5665349,32%,14%,7501642,43%,18%,2355665,13%,6%,312879,2%,1%,1610559,9%,4%,19527559,776765,4813683,777280,5657550,1570015,567329,105905,2786807,268148,975288,161950,1066839,21461134,578605,2562625,268702,3056995,2353359,387177,66609,2878542,7233494,1380377,150929,543720
MMR001,Kachin,1323416,754848,57%,726183,96%,55%,45127,6%,6%,3%,205791,28%,27%,16%,26712,4%,4%,2%,337579,46%,45%,26%,110974,15%,15%,8%,28665,4%,2%,568568,43%,4275,1%,0%,240365,42%,18%,219147,39%,17%,59039,10%,4%,7899,1%,1%,37843,7%,3%,693103,27962,159853,20325,232594,54321,18377,2863,115320,11227,21003,3962,25296,630313,17165,45938,6387,104985,56653,10288,1412,125045,207920,38036,3937,12547
MMR002,Kayah,220247,137186,62%,133429,97%,61%,13187,10%,10%,6%,24800,19%,18%,11%,3248,2%,2%,1%,60758,46%,44%,28%,31436,24%,23%,14%,3757,3%,2%,83061,38%,791,1%,0%,39109,47%,18%,28350,34%,13%,9292,11%,4%,1531,2%,1%,3988,5%,2%,109518,8051,18063,2374,35934,14593,2264,510,18513,1625,4076,805,2710,110729,5136,6737,874,24824,16843,1493,281,20596,26725,5216,726,1278
MMR003,Kayin,1148665,578056,50%,532389,92%,46%,31812,6%,6%,3%,120822,23%,21%,11%,16048,3%,3%,1%,253528,48%,44%,22%,110179,21%,19%,10%,45667,8%,4%,570609,50%,12369,2%,1%,178778,31%,16%,238938,42%,21%,59632,10%,5%,11020,2%,1%,69872,12%,6%,558531,20100,86210,11810,175887,51600,30589,7981,84519,11273,25205,5781,47576,590134,11712,34612,4238,77641,58579,15078,4388,94259,227665,34427,5239,22296
MMR004,Chin,347466,181607,52%,172141,95%,50%,15697,9%,9%,5%,12961,8%,7%,4%,1719,1%,1%,0%,61996,36%,34%,18%,79768,46%,44%,23%,9466,5%,3%,165859,48%,2602,2%,1%,86036,52%,25%,49352,30%,14%,16433,10%,5%,4613,3%,1%,6823,4%,2%,163220,9291,9648,1045,40346,34930,5782,1568,43029,3916,7181,2101,4383,184246,6406,3313,674,21650,44838,3684,1034,43007,45436,9252,2512,2440
MMR005,Sagaing,4341390,2647937,61%,2549836,96%,59%,106461,4%,4%,2%,613761,24%,23%,14%,108473,4%,4%,2%,1116059,44%,42%,26%,605082,24%,23%,14%,98101,4%,2%,1693453,39%,13140,1%,0%,622759,37%,14%,653837,39%,15%,278504,16%,6%,29730,2%,1%,95483,6%,2%,2019493,55382,382227,78516,714700,209634,52333,7934,303982,23932,109084,14527,67242,2321897,51079,231534,29957,401359,395448,45768,5206,318777,629905,169420,15203,28241
MMR006,Tanintharyi,1095900,582031,53%,554333,95%,51%,38754,7%,7%,4%,216640,39%,37%,20%,16448,3%,3%,2%,217055,39%,37%,20%,65436,12%,11%,6%,27698,5%,3%,513869,47%,7747,2%,1%,179107,35%,16%,226675,44%,21%,53261,10%,5%,10647,2%,1%,36432,7%,3%,541928,23463,162137,12569,143016,31199,17426,4789,84825,10442,21813,5794,24455,553972,15291,54503,3879,74039,34237,10272,2958,94282,216233,31448,4853,11977
MMR111,Bago,3977730,2109729,53%,1997229,95%,50%,125861,6%,6%,3%,719559,36%,34%,18%,139114,7%,7%,3%,734305,37%,35%,18%,278390,14%,13%,7%,112500,5%,3%,1868001,47%,13355,1%,0%,507461,27%,13%,901781,48%,23%,232212,12%,6%,31103,2%,1%,182089,10%,5%,1872002,71364,468309,110011,513255,127458,66819,8360,251025,24630,95064,16181,119526,2105728,54497,251250,29103,221050,150932,45681,4995,256436,877151,137148,14922,62563
MMR009,Magway,3232150,1948277,60%,1884494,97%,58%,113027,6%,6%,3%,460921,24%,24%,14%,96894,5%,5%,3%,765563,41%,39%,24%,448089,24%,23%,14%,63783,3%,2%,1283873,40%,6879,1%,0%,430892,34%,13%,515984,40%,16%,215053,17%,7%,27038,2%,1%,88027,7%,3%,1469573,62166,272050,67691,487448,155632,33013,4154,211665,17894,87212,13332,57316,1762577,50861,188871,29203,278115,292457,30770,2725,219227,498090,127841,13706,30711
MMR010,Mandalay,5146440,2989622,58%,2892622,97%,56%,175202,6%,6%,3%,1101077,38%,37%,21%,108820,4%,4%,2%,1092605,38%,37%,21%,414918,14%,14%,8%,97000,3%,2%,2156818,42%,16185,1%,0%,685320,32%,13%,934698,43%,18%,317650,15%,6%,33577,2%,1%,169388,8%,3%,2412538,98359,683458,76612,689776,160352,56546,10171,337960,34644,131795,17587,115278,2733902,76843,417619,32208,402829,254566,40454,6014,347360,900054,185855,15990,54110
MMR011,Mon,1645018,831977,51%,777486,93%,47%,49048,6%,6%,3%,292567,38%,35%,18%,40201,5%,5%,2%,301391,39%,36%,18%,94279,12%,11%,6%,54491,7%,3%,813041,49%,11812,1%,1%,236705,29%,14%,346251,43%,21%,96411,12%,6%,17785,2%,1%,104077,13%,6%,779207,24892,207276,30124,189644,37110,33913,7355,113348,12304,41375,9691,72175,865811,24156,85291,10077,111747,57169,20578,4457,123357,333947,55036,8094,31902
MMR012,Rakhine,1690992,822867,49%,733169,89%,43%,59276,8%,7%,4%,167683,23%,20%,10%,46458,6%,6%,3%,332503,45%,40%,20%,127249,17%,15%,8%,89698,11%,5%,868125,51%,16951,2%,1%,257454,30%,15%,391025,45%,23%,99459,11%,6%,11319,1%,1%,91917,11%,5%,782862,38676,124873,37201,237334,45764,50762,8797,131598,11217,37171,5370,54099,908130,20600,42810,9257,95169,81485,38936,8154,125856,379808,62288,5949,37818
MMR013,Yangon,6279629,3411442,54%,3268741,96%,52%,258151,8%,8%,4%,1784656,55%,52%,28%,128576,4%,4%,2%,887821,27%,26%,14%,209537,6%,6%,3%,142701,4%,2%,2868187,46%,28733,1%,0%,853726,30%,14%,1255087,44%,20%,401484,14%,6%,47164,2%,1%,281993,10%,4%,2967025,143965,1122624,93718,549213,88797,90600,18393,429731,36496,185087,25816,182585,3312604,114186,662032,34858,338608,120740,52101,10340,423995,1218591,216397,21348,99408
MMR222,Shan,4601189,3081253,67%,3015500,98%,66%,134113,4%,4%,3%,508038,17%,16%,11%,71814,2%,2%,2%,1405196,47%,46%,31%,896339,30%,29%,19%,65753,2%,1%,1519936,33%,20678,1%,0%,565656,37%,12%,532173,35%,12%,223002,15%,5%,25512,2%,1%,152915,10%,3%,2293647,90998,337738,48859,872512,366810,38888,12632,273393,40188,90642,13206,107781,2307542,43115,170300,22955,532684,529529,26865,8046,292263,491985,132360,12306,45134
MMR017,Ayeyarwady,4994684,2726400,55%,2627993,96%,53%,102651,4%,4%,2%,941894,36%,35%,19%,219319,8%,8%,4%,983188,37%,36%,20%,380941,14%,14%,8%,98407,4%,2%,2268284,45%,14649,1%,0%,649184,29%,13%,1047069,46%,21%,251601,11%,5%,48610,2%,1%,257171,11%,5%,2409479,49170,646744,170841,667988,169086,59858,8966,321458,23601,100982,24984,165801,2585205,53481,295150,48478,315200,211855,38549,5683,327726,1023468,150619,23626,91370
MMR018,Nay Pyi Taw,943777,566853,60%,550034,97%,58%,87003,16%,15%,9%,205138,37%,36%,22%,22138,4%,4%,2%,164998,30%,29%,17%,70757,13%,12%,7%,16819,3%,2%,376924,40%,2348,1%,0%,132797,35%,14%,161275,43%,17%,42632,11%,5%,5331,1%,1%,32541,9%,3%,455433,52926,132473,15584,107903,22729,10159,1432,66441,4759,17598,2813,20616,488344,34077,72665,6554,57095,48028,6660,916,66356,156516,25034,2518,11925
